Source,Label,Target
Q95281762,Matthew Comer,http://www.wikidata.org/entity/Q102415169
Q95281762,Gary Lindstrom,http://www.wikidata.org/entity/Q5525477
Q95281762,Kai Li,http://www.wikidata.org/entity/Q6347433
Q95281762,George E. Collins,http://www.wikidata.org/entity/Q16090778
Q95281762,Cleveland Waddell,http://www.wikidata.org/entity/Q103126355
Q95281762,Bob F. Caviness,http://www.wikidata.org/entity/Q95281762
Q16090778,Rüdiger Loos,http://www.wikidata.org/entity/Q95757790
Q16090778,David Edward Schroer,http://www.wikidata.org/entity/Q102188788
Q16090778,Gerald Sacks,http://www.wikidata.org/entity/Q1509840
Q16090778,"J. Barkley Rosser, Jr.",http://www.wikidata.org/entity/Q6104803
Q16090778,Rudolf Albrecht,http://www.wikidata.org/entity/Q91752115
Q16090778,Sartaj Sahni,http://www.wikidata.org/entity/Q92684
Q16090778,Alonzo Church,http://www.wikidata.org/entity/Q92741
Q16090778,Bruno Buchberger,http://www.wikidata.org/entity/Q78978
Q16090778,Elliott Mendelson,http://www.wikidata.org/entity/Q5365699
Q16090778,Jing Yang,http://www.wikidata.org/entity/Q102408993
Q16090778,Chris Paquette,http://www.wikidata.org/entity/Q102111025
Q16090778,Brittany Riggs,http://www.wikidata.org/entity/Q102111402
Q16090778,Theodore Hailperin,http://www.wikidata.org/entity/Q102132287
Q16090778,Steven Orey,http://www.wikidata.org/entity/Q102132545
Q16090778,Charlotte J. Chell,http://www.wikidata.org/entity/Q102158018
Q16090778,Walter Joel Harrington,http://www.wikidata.org/entity/Q102198745
Q16090778,"George William Petznick, Jr.",http://www.wikidata.org/entity/Q102265957
Q16090778,John Edward Perry,http://www.wikidata.org/entity/Q102274130
Q16090778,Anatole D. Ruslanov,http://www.wikidata.org/entity/Q102311229
Q16090778,Manfred Minimair,http://www.wikidata.org/entity/Q83411630
Q16090778,David Gregory Richardson,http://www.wikidata.org/entity/Q102396103
Q16090778,Madalina Erascu,http://www.wikidata.org/entity/Q102412504
Q16090778,Stefan Ratschan,http://www.wikidata.org/entity/Q102416580
Q16090778,James Rohal,http://www.wikidata.org/entity/Q102422662
Q16090778,Aaron Herman,http://www.wikidata.org/entity/Q102432260
Q16090778,George E. Collins,http://www.wikidata.org/entity/Q16090778
Q16090778,Mark W. Boady,http://www.wikidata.org/entity/Q102633173
Q16090778,Mary Ambrosino,http://www.wikidata.org/entity/Q102652455
Q16090778,Dan Benanav,http://www.wikidata.org/entity/Q102788359
Q16090778,Zachary Hough,http://www.wikidata.org/entity/Q102927498
Q16090778,Anthony Breitzman,http://www.wikidata.org/entity/Q103051793
Q16090778,Bob F. Caviness,http://www.wikidata.org/entity/Q95281762
Q16090778,Paul Brown,http://www.wikidata.org/entity/Q102398743
Q86925052,Artur Korniłowicz,http://www.wikidata.org/entity/Q90699711
Q86925052,Homer Joseph Stewart,http://www.wikidata.org/entity/Q102078023
Q86925052,André Boivin,http://www.wikidata.org/entity/Q102219480
Q86925052,Henning Rasmussen,http://www.wikidata.org/entity/Q102244103
Q86925052,Dhavide Arjunan Aruliah,http://www.wikidata.org/entity/Q102251348
Q86925052,Gregory John Reid,http://www.wikidata.org/entity/Q102280621
Q86925052,David John Jeffrey,http://www.wikidata.org/entity/Q102305455
Q86925052,Nikta Shayanfar,http://www.wikidata.org/entity/Q102426514
Q86925052,Matt Davison,http://www.wikidata.org/entity/Q40497834
Q86925052,Monjur Morshed,http://www.wikidata.org/entity/Q102792899
Q86925052,Robert M. Corless,http://www.wikidata.org/entity/Q86925052
Q37029316,Pedro Abellanas,http://www.wikidata.org/entity/Q27077369
Q37029316,Peter Bürgisser,http://www.wikidata.org/entity/Q37008968
Q37029316,Felipe Cucker,http://www.wikidata.org/entity/Q37029316
Q37029316,Lenore Blum,http://www.wikidata.org/entity/Q93004
Q37029316,Carlos Andradas,http://www.wikidata.org/entity/Q30918165
Q37029316,Michael Shub,http://www.wikidata.org/entity/Q3308514
Q37029316,Jean Bénabou,http://www.wikidata.org/entity/Q102112308
Q37029316,Laureano González Vega,http://www.wikidata.org/entity/Q102112303
Q37029316,Luis Miguel Pardo,http://www.wikidata.org/entity/Q102117918
Q37029316,César Alonso,http://www.wikidata.org/entity/Q102192568
Q37029316,Jose Luis Montaña Arnaiz,http://www.wikidata.org/entity/Q102192564
Q37029316,Antonio González Corbalán,http://www.wikidata.org/entity/Q102192561
Q37029316,José Manuel Gamboa Mutuberría,http://www.wikidata.org/entity/Q102192550
Q37029316,María Emilia Alonso García,http://www.wikidata.org/entity/Q102192556
Q37029316,Margarita Bradley Celso,http://www.wikidata.org/entity/Q102192557
Q37029316,María Luisa Mazón Calpena,http://www.wikidata.org/entity/Q102192562
Q37029316,María José González López,http://www.wikidata.org/entity/Q102192566
Q37029316,Jesús Escribano Martínez,http://www.wikidata.org/entity/Q102223118
Q37029316,Jesús María Ruiz Sancho,http://www.wikidata.org/entity/Q102223138
Q37029316,Hélène Pennaneac'h,http://www.wikidata.org/entity/Q102230417
Q37029316,Francisco Santos Leal,http://www.wikidata.org/entity/Q18223274
Q37029316,Ronan Quarez,http://www.wikidata.org/entity/Q102254061
Q37029316,Typhaine Le Méhauté,http://www.wikidata.org/entity/Q102254060
Q37029316,Azzeddine Fekak,http://www.wikidata.org/entity/Q102293061
Q37029316,Daniel Pecker,http://www.wikidata.org/entity/Q102293055
Q37029316,Mamadou Makhtar Diop,http://www.wikidata.org/entity/Q102293059
Q37029316,Rodolphe Ramanakoraisina,http://www.wikidata.org/entity/Q102293057
Q37029316,Ousmane Moussa,http://www.wikidata.org/entity/Q102293058
Q37029316,Taoufik Bouzoubaa,http://www.wikidata.org/entity/Q102293060
Q37029316,Luis Felipe Tabera,http://www.wikidata.org/entity/Q102310884
Q37029316,Kartoué Mady Demdah,http://www.wikidata.org/entity/Q102357310
Q37029316,Seydou Moussa,http://www.wikidata.org/entity/Q102357315
Q37029316,Zoltán Kovács,http://www.wikidata.org/entity/Q102439267
Q37029316,Stephen Smale,http://www.wikidata.org/entity/Q315394
Q102173657,M. D. Donsker,http://www.wikidata.org/entity/Q1945199
