Source,Label,Target
Q96945558,Jose Luiz Fiadeiro,http://www.wikidata.org/entity/Q96945559
Q96945558,Robert H. Sloan,http://www.wikidata.org/entity/Q96945557
Q96945558,Matthew Hennessy,http://www.wikidata.org/entity/Q6790660
Q96945558,Shay Kutten,http://www.wikidata.org/entity/Q28075403
Q96945558,Rob van Glabbeek,http://www.wikidata.org/entity/Q96945555
Q96945558,Lane A. Hemaspaandra,http://www.wikidata.org/entity/Q96945560
Q96945558,Evangelos Kranakis,http://www.wikidata.org/entity/Q57278603
Q96945558,Dorothea Wagner,http://www.wikidata.org/entity/Q16477
Q96945558,Lijun Zhang,http://www.wikidata.org/entity/Q96945556
Q96945558,Martin Wirsing,http://www.wikidata.org/entity/Q25337169
Q96945558,Femke van Raamsdonk,http://www.wikidata.org/entity/Q102253237
Q96945558,Vincent van Oostrom,http://www.wikidata.org/entity/Q102253236
Q96945558,Clemens Grabmayer,http://www.wikidata.org/entity/Q102273437
Q96945558,Jeroen Ketema,http://www.wikidata.org/entity/Q102357372
Q96945558,Jörg Endrullis,http://www.wikidata.org/entity/Q102395021
Q96945558,Rob van Glabbeek,http://www.wikidata.org/entity/Q102401381
Q96945558,Dominik Klein,http://www.wikidata.org/entity/Q102422376
Q96945558,Ariya Isihara,http://www.wikidata.org/entity/Q102440936
Q96945558,Cynthia Kop,http://www.wikidata.org/entity/Q102440937
Q96945558,Mirna Bognar,http://www.wikidata.org/entity/Q102440935
Q96945558,Stefan Blom,http://www.wikidata.org/entity/Q102440933
Q96945558,Aart Middeldorp,http://www.wikidata.org/entity/Q96945558
Q96945558,Nancy Lynch,http://www.wikidata.org/entity/Q11779
Q96945558,Wolfgang Thomas,http://www.wikidata.org/entity/Q62729156
Q96945558,Bartosz Klin,http://www.wikidata.org/entity/Q26461854
Q96945558,Dirk van Dalen,http://www.wikidata.org/entity/Q1228141
Q96945558,Ran Canetti,http://www.wikidata.org/entity/Q62007126
Q96945558,Gordon Plotkin,http://www.wikidata.org/entity/Q967536
Q96945558,Luca Aceto,http://www.wikidata.org/entity/Q62090445
Q96945558,Wan J Fokkink,http://www.wikidata.org/entity/Q92333014
Q102366168,Paulo Ribenboim,http://www.wikidata.org/entity/Q933700
Q102366168,Carlos Eduardo Nogueira Bahiano,http://www.wikidata.org/entity/Q102231265
Q102366168,Paulo Fonseca Machado,http://www.wikidata.org/entity/Q102299914
Q102366168,Cleto B. Miranda Neto,http://www.wikidata.org/entity/Q102302128
Q102366168,José Fernandes Silva Andrade,http://www.wikidata.org/entity/Q102302127
Q102366168,Kalasas Vasconcelos de Araujo,http://www.wikidata.org/entity/Q102346273
Q102366168,Abbas Nasrollah Nejad,http://www.wikidata.org/entity/Q102366168
Q102366168,André Vinicius Santos Dória,http://www.wikidata.org/entity/Q102398584
Q102366168,Barbara Costa da Silva,http://www.wikidata.org/entity/Q102398582
Q102366168,Rodrigo José Gondim Neves,http://www.wikidata.org/entity/Q102398585
Q102366168,Zaqueu Alves Ramos,http://www.wikidata.org/entity/Q102417257
Q102366168,Maral Mostafazadehfard,http://www.wikidata.org/entity/Q102425150
Q102313335,Heisuke Hironaka,http://www.wikidata.org/entity/Q183373
Q102313335,Abdallah Assi,http://www.wikidata.org/entity/Q102313335
Q102313335,Ana J. Reguera,http://www.wikidata.org/entity/Q102339572
Q102313335,Marcel Morales,http://www.wikidata.org/entity/Q102351549
Q102313335,Hussein Mourtada,http://www.wikidata.org/entity/Q102364353
Q102233028,David Murrugarra,http://www.wikidata.org/entity/Q84841687
Q102233028,Karen Andrea Schlauch,http://www.wikidata.org/entity/Q56872886
Q102233028,Michael Roger Stein,http://www.wikidata.org/entity/Q102156559
Q102233028,Cynthia Jean (Woodburn) Huffman,http://www.wikidata.org/entity/Q102158701
Q102233028,Xenia Hart Kramer,http://www.wikidata.org/entity/Q102158708
Q102233028,Luis David Garcia-Puente,http://www.wikidata.org/entity/Q102174717
Q102233028,Abdul Salam Jarrah,http://www.wikidata.org/entity/Q102233028
Q102233028,Omar Colon-Reyes,http://www.wikidata.org/entity/Q102270239
Q102233028,Brandilyn Suzanne Stigler,http://www.wikidata.org/entity/Q102282085
